Tot_sales,Tot_amount,Avg_review,Avg_delivery,Tot_sales_Quartile,Avg_review_Quartile,Tot_amount_Quartile,Avg_delivery_Quartile,SellerScore
98,11315.889999999989,3.877551020408163,4.3979591836734695,4,2,4,1,4421
1,59.0,5.0,1.0,1,4,1,4,1144
49,6917.589999999997,3.877551020408163,7.36734693877551,4,2,4,1,4421
330,8849.499999999949,4.054545454545455,1.8735701542219616,4,2,4,3,4423
27,1670.3000000000006,4.518518518518518,2.5555555555555554,4,3,3,3,4333
15,1278.5,3.8666666666666667,6.418543392883157,3,2,3,1,3321
8,1513.0,3.75,2.25,2,2,3,3,2323
2,208.8,5.0,0.5,1,4,1,4,1144
27,1693.5,3.1481481481481484,2.5555555555555554,4,1,3,3,4313
2,258.9,5.0,1.0,1,4,2,4,1244
1,149.9,1.0,16.0,1,1,1,1,1111
3,234.12,5.0,0.3333333333333333,2,4,2,4,2244
11,171.99,4.090909090909091,2.909090909090909,3,2,1,2,3122
140,17309.05999999998,4.25,1.7428571428571429,4,3,4,4,4434
5,359.7,3.8,1.8,2,2,2,4,2224
2,318.0,4.5,4.5,1,3,2,1,1231
75,3635.369999999995,4.306666666666667,2.04,4,3,4,3,4433
29,16040.839999999998,4.310344827586207,3.7241379310344827,4,3,4,2,4432
1,44.99,5.0,7.0,1,4,1,1,1141
1940,107431.40999999734,3.9757731958762887,3.8180412371134023,4,2,4,2,4422
1,49.0,1.0,5.0,1,1,1,1,1111
3,531.8,5.0,1.0,2,4,2,4,2244
13,875.0999999999998,4.538461538461538,3.1538461538461537,3,3,3,2,3332
79,13602.729999999983,4.075949367088608,3.054153808775283,4,2,4,2,4422
1,6.9,1.0,0.0,1,1,1,4,1114
6,98.75,1.5,3.6666666666666665,2,1,1,2,2112
18,4251.0,4.444444444444445,1.7222222222222223,3,3,4,4,3434
1,92.0,1.0,3.278150893247353,1,1,1,2,1112
25,4537.6,4.28,2.72,4,3,4,3,4433
2,537.76,4.0,0.0,1,2,2,4,1224
12,388.88999999999993,3.9166666666666665,1.1666666666666667,3,2,2,4,3224
1,159.9,5.0,1.0,1,4,1,4,1144
1,73.4,5.0,3.0,1,4,1,2,1142
12,604.8999999999999,4.5,2.4166666666666665,3,3,2,3,3233
2,219.8,4.5,4.0,1,3,2,2,1232
3,763.0999999999999,5.0,1.3333333333333333,2,4,2,4,2244
3,184.70000000000002,5.0,1.0,2,4,1,4,2144
1,29.9,2.0,3.278150893247353,1,1,1,2,1112
44,8830.819999999996,3.727272727272727,9.39900685878397,4,2,4,1,4421
6,501.20000000000005,5.0,1.0,2,4,2,4,2244
7,407.3999999999999,4.285714285714286,3.857142857142857,2,3,2,2,2232
11,1342.95,3.0,7.8284185066354,3,1,3,1,3311
51,861.8999999999993,3.843137254901961,2.450980392156863,4,2,3,3,4323
2,51.9,2.5,2.0,1,1,1,3,1113
54,2903.6000000000026,4.351851851851852,1.8888888888888888,4,3,3,3,4333
1,14.9,1.0,39.0,1,1,1,1,1111
1,85.9,1.0,3.278150893247353,1,1,1,2,1112
430,12376.01999999992,3.8930232558139535,2.700261868774394,4,2,4,3,4423
195,15499.350000000011,3.7487179487179487,7.764102564102564,4,2,4,1,4421
3,189.70000000000002,2.3333333333333335,0.6666666666666666,2,1,1,4,2114
22,2981.4999999999995,3.8636363636363638,3.1818181818181817,3,2,3,2,3322
4,99.96,3.75,5.069537723311838,2,2,1,1,2121
